period,ticker,ann_geom_return_%,ann_volatility_%,sharpe,corr_with_SPY,beta,alpha_ann_%,alpha_p_hac,r_squared,beta_cmdty,r2_two_factor
2016–2020,XOM,-7.599145658499406,28.655288089829828,-0.1710876034490469,0.6811715618184457,1.034886873931692,-20.482726593572394,0.014622129135614208,0.46403010212780915,0.18662504430536525,0.5305702091762663
2016–2020,COP,-0.641802327643215,43.11238353734635,0.17580945575853407,0.6192405178406333,1.4154031356516121,-13.728900449764323,0.3379444096859665,0.3834778231143725,0.42926441763384426,0.5390073954997889
2016–2020,FCX,32.656348551441106,58.24489307163701,0.7567655192490694,0.5613276811844852,1.7337893522740897,17.978369530567548,0.37383089806062075,0.3152294565810829,1.0176875691673575,0.43185518048089133
2016–2020,NEM,28.777018950808177,35.70001442503747,0.8559078619061696,0.15658632077466367,0.29657151676676463,26.092474158754914,0.07856428200665065,0.024551702999149327,1.708975122725124,0.46841929167301843
2016–2020,ADM,10.536300553473632,26.609331970254672,0.4685422905439509,0.6731401476296455,0.9497559884737653,-1.8298136972405936,0.8308018676615369,0.4531976171819524,-0.000561901462087129,0.45319767368461206
2016–2020,SPY,15.447998499791481,18.861203395971955,0.7981331188735665,0.9999999999999999,,,,,,
2021–2025,XOM,29.12894214198134,27.013843553501175,0.9627282559466305,0.34186205046626,0.5402649147801237,19.692657726885177,0.09675275183070926,0.1170782697355176,0.4872560438506584,0.4627173207459676
2021–2025,COP,22.989677958982746,33.4492214949342,0.6902169842191485,0.3862462351945774,0.7558218871939775,14.248907797200857,0.33506230150456606,0.14946420784932568,0.5963970340608187,0.487229325033699
2021–2025,FCX,15.904667873678658,45.46113806037768,0.4813143338118381,0.5531933393959229,1.4698043352588055,4.683549151601945,0.7833197654356944,0.30612050922706346,0.9283375194085901,0.5625767736012102
2021–2025,NEM,14.377792274080337,35.522429110626135,0.4660991992886972,0.23613369996907319,0.48987994145924096,10.82417022638932,0.49711550035487506,0.055704623181157986,1.4457669451470023,0.45451003952039537
2021–2025,ADM,5.587051139357757,27.720502063851786,0.22343623162804618,0.32232062370194825,0.5226458424816134,0.07974583505844257,0.9945628322297264,0.10406075459099362,0.25878725869192387,0.1216288555181615
2021–2025,SPY,14.396137395174735,17.116048263170764,0.6837282510752963,1.0,,,,,,
